# file_name	input_name	description
function_download_SLIM.txt	get_slim	download data from SLIMS via rsync FTP
function_download_SRR.txt	get_srr	download data from public server via fastq-dump SRR
function_rename.txt	rename	for fastq hierarchies where fastq name isn't unique
function_custom_concat.txt	customize	add custom sequences/annotations to fa and gtf files
function_bwa_index.txt	bwa_index	BWA index
function_star_index.txt	index	STAR index reference genome
function_bwa_align.txt	bwa_align	BWA align
function_star_align.txt	align	STAR aligner
function_fastqc.txt	fqc	individual qc functions for fastq files
function_rseqc_ind.txt	rqc_ind	individual qc functions for bam files
function_rseqc_all.txt	rqc_all	merged genome coverage plot for bam files
function_featureCount.txt	feature	gene counts by sample in matrix form based on features in gtf
function_view.txt	view	amplicon (range) specific coverage counts
function_mpileup.txt	pile	allele specific coverage counts
